Student_ID,Days_Present,Total_Days
S0001,168,188
S0002,148,189
S0003,167,190
S0004,150,194
S0005,163,186
S0006,166,192
S0007,137,185
S0008,167,198
S0009,141,181
S0010,149,181
S0011,152,180
S0012,169,187
S0013,148,192
S0014,136,200
S0015,174,189
S0016,160,183
S0017,154,187
S0018,142,182
S0019,115,189
S0020,165,195
S0021,166,180
S0022,164,196
S0023,154,184
S0024,113,194
S0025,162,197
S0026,161,196
S0027,174,194
S0028,165,194
S0029,150,183
S0030,149,182
S0031,129,188
S0032,155,192
S0033,133,192
S0034,122,196
S0035,134,186
S0036,180,198
S0037,154,189
S0038,147,185
S0039,158,195
S0040,114,182
S0041,166,188
S0042,121,196
S0043,163,196
S0044,154,185
S0045,153,183
S0046,141,180
S0047,106,181
S0048,149,197
S0049,165,196
S0050,145,190
S0051,174,191
S0052,138,186
S0053,163,184
S0054,136,180
S0055,163,194
S0056,148,180
S0057,157,182
S0058,169,196
S0059,163,192
S0060,118,190
S0061,101,184
S0062,137,183
S0063,161,189
S0064,160,187
S0065,146,191
S0066,182,183
S0067,153,184
S0068,155,182
S0069,148,188
S0070,184,185
S0071,151,184
S0072,149,191
S0073,140,190
S0074,167,184
S0075,182,194
S0076,154,187
S0077,187,187
S0078,149,190
S0079,123,182
S0080,163,188
S0081,140,192
S0082,150,182
S0083,153,191
S0084,139,180
S0085,146,192
S0086,171,180
S0087,142,183
S0088,145,187
S0089,175,192
S0090,172,195
S0091,148,189
S0092,155,182
S0093,153,188
S0094,170,196
S0095,151,181
S0096,159,195
S0097,146,188
S0098,177,180
S0099,158,194
S0100,153,180
S0101,158,187
S0102,143,184
S0103,139,192
S0104,135,181
S0105,135,181
S0106,129,191
S0107,145,200
S0108,154,180
S0109,182,189
S0110,158,196
S0111,112,186
S0112,165,190
S0113,156,197
S0114,168,195
S0115,142,186
S0116,148,195
S0117,158,194
S0118,164,190
S0119,161,189
S0120,166,199
S0121,191,198
S0122,180,200
S0123,175,194
S0124,120,187
S0125,166,182
S0126,131,182
S0127,158,199
S0128,146,187
S0129,125,182
S0130,179,184
S0131,124,180
S0132,165,191
S0133,159,192
S0134,142,187
S0135,163,195
S0136,139,190
S0137,167,200
S0138,145,196
S0139,155,181
S0140,159,185
S0141,165,195
S0142,142,191
S0143,185,195
S0144,143,187
S0145,138,180
S0146,185,196
S0147,163,196
S0148,141,193
S0149,183,188
S0150,145,180
S0151,162,195
S0152,151,193
S0153,179,194
S0154,143,183
S0155,130,195
S0156,154,195
S0157,198,198
S0158,157,191
S0159,159,195
S0160,171,188
S0161,177,194
S0162,156,194
S0163,165,196
S0164,177,197
S0165,137,180
S0166,171,196
S0167,148,196
S0168,142,191
S0169,156,190
S0170,164,195
S0171,163,189
S0172,119,188
S0173,156,196
S0174,153,196
S0175,169,184
S0176,170,197
S0177,169,186
S0178,167,182
S0179,156,198
S0180,154,184
S0181,135,184
S0182,170,185
S0183,117,190
S0184,143,183
S0185,147,183
S0186,175,188
S0187,116,184
S0188,182,184
S0189,160,199
S0190,122,192
S0191,99,180
S0192,136,182
S0193,166,197
S0194,149,185
S0195,159,183
S0196,138,193
S0197,147,197
S0198,135,188
S0199,167,195
S0200,160,188
S0201,155,182
S0202,168,196
S0203,153,199
S0204,165,200
S0205,150,182
S0206,170,191
S0207,159,193
S0208,139,181
S0209,182,199
S0210,178,182
S0211,155,185
S0212,173,200
S0213,175,191
S0214,153,194
S0215,155,190
S0216,127,195
S0217,153,181
S0218,152,194
S0219,138,181
S0220,137,183
S0221,141,190
S0222,157,189
S0223,145,183
S0224,140,196
S0225,137,186
S0226,143,198
S0227,148,180
S0228,161,184
S0229,156,186
S0230,152,192
S0231,155,188
S0232,132,183
S0233,128,191
S0234,173,200
S0235,154,182
S0236,170,185
S0237,143,190
S0238,195,195
S0239,130,182
S0240,163,184
S0241,135,184
S0242,151,192
S0243,113,181
S0244,136,193
S0245,158,188
S0246,161,186
S0247,189,198
S0248,145,197
S0249,160,196
S0250,147,198
S0251,139,184
S0252,162,197
S0253,179,183
S0254,141,186
S0255,138,191
S0256,143,195
S0257,175,192
S0258,172,191
S0259,157,187
S0260,125,192
S0261,143,189
S0262,149,190
S0263,162,192
S0264,139,192
S0265,157,186
S0266,176,182
S0267,143,186
S0268,175,188
S0269,161,183
S0270,134,183
S0271,158,199
S0272,150,185
S0273,143,195
S0274,125,182
S0275,186,200
S0276,143,184
S0277,162,188
S0278,153,196
S0279,145,184
S0280,167,191
S0281,149,196
S0282,168,180
S0283,121,180
S0284,159,196
S0285,119,185
S0286,154,199
S0287,174,199
S0288,176,198
S0289,139,200
S0290,150,197
S0291,138,188
S0292,163,200
S0293,117,187
S0294,154,192
S0295,161,180
S0296,165,200
S0297,180,192
S0298,186,199
S0299,138,187
S0300,123,186
S0301,150,190
S0302,141,198
S0303,143,191
S0304,161,196
S0305,166,184
S0306,160,196
S0307,160,195
S0308,146,198
S0309,146,181
S0310,175,188
S0311,165,181
S0312,147,188
S0313,147,195
S0314,190,193
S0315,168,195
S0316,145,195
S0317,198,200
S0318,147,198
S0319,149,192
S0320,181,198
S0321,159,181
S0322,158,195
S0323,135,190
S0324,153,200
S0325,144,190
S0326,183,183
S0327,166,195
S0328,161,199
S0329,145,180
S0330,151,181
S0331,139,193
S0332,132,191
S0333,157,191
S0334,141,181
S0335,163,192
S0336,136,191
S0337,150,197
S0338,140,188
S0339,173,187
S0340,133,181
S0341,166,191
S0342,178,193
S0343,148,185
S0344,135,195
S0345,142,199
S0346,150,183
S0347,141,192
S0348,166,194
S0349,150,180
S0350,164,183
S0351,148,188
S0352,121,182
S0353,141,187
S0354,162,183
S0355,154,198
S0356,110,192
S0357,169,186
S0358,152,196
S0359,159,180
S0360,179,192
S0361,144,194
S0362,184,196
S0363,163,184
S0364,189,192
S0365,137,196
S0366,167,196
S0367,168,183
S0368,174,200
S0369,164,185
S0370,146,188
S0371,184,184
S0372,183,183
S0373,149,185
S0374,162,182
S0375,185,195
S0376,140,192
S0377,136,188
S0378,176,191
S0379,174,192
S0380,141,183
S0381,149,186
S0382,123,198
S0383,152,180
S0384,140,200
S0385,170,200
S0386,153,185
S0387,163,186
S0388,150,184
S0389,130,191
S0390,166,184
S0391,167,196
S0392,177,188
S0393,199,200
S0394,139,197
S0395,152,188
S0396,141,192
S0397,150,180
S0398,157,181
S0399,156,190
S0400,162,189
S0401,142,188
S0402,125,181
S0403,156,197
S0404,157,188
S0405,138,189
S0406,155,188
S0407,152,190
S0408,151,193
S0409,173,196
S0410,158,191
S0411,174,183
S0412,156,198
S0413,148,185
S0414,131,180
S0415,141,180
S0416,159,196
S0417,154,188
S0418,169,180
S0419,160,197
S0420,153,186
S0421,161,200
S0422,189,198
S0423,147,181
S0424,186,194
S0425,124,192
S0426,130,183
S0427,136,187
S0428,136,190
S0429,118,183
S0430,175,195
S0431,160,185
S0432,150,199
S0433,146,196
S0434,133,193
S0435,174,182
S0436,133,180
S0437,119,183
S0438,173,190
S0439,154,196
S0440,175,183
S0441,147,194
S0442,170,181
S0443,174,185
S0444,149,192
S0445,155,197
S0446,165,196
S0447,167,191
S0448,128,180
S0449,132,186
S0450,123,196
S0451,153,181
S0452,160,194
S0453,162,194
S0454,110,195
S0455,143,184
S0456,122,185
S0457,137,184
S0458,165,188
S0459,165,191
S0460,174,182
S0461,149,191
S0462,178,185
S0463,129,191
S0464,135,186
S0465,158,200
S0466,119,186
S0467,159,198
S0468,131,183
S0469,125,181
S0470,183,183
S0471,133,188
S0472,132,198
S0473,158,183
S0474,160,196
S0475,167,194
S0476,154,187
S0477,145,187
S0478,161,199
S0479,165,195
S0480,159,185
S0481,152,199
S0482,164,188
S0483,152,181
S0484,149,197
S0485,158,198
S0486,119,189
S0487,164,194
S0488,146,184
S0489,149,197
S0490,187,187
S0491,130,185
S0492,185,190
S0493,139,185
S0494,159,193
S0495,156,195
S0496,121,188
S0497,166,196
S0498,152,189
S0499,174,200
S0500,145,185
S0501,125,194
S0502,128,191
S0503,197,199
S0504,133,184
S0505,169,184
S0506,151,198
S0507,162,198
S0508,170,195
S0509,139,189
S0510,186,188
S0511,159,193
S0512,166,195
S0513,149,185
S0514,171,180
S0515,164,181
S0516,158,187
S0517,174,194
S0518,148,189
S0519,183,192
S0520,167,189
S0521,137,185
S0522,160,195
S0523,161,195
S0524,148,200
S0525,162,197
S0526,154,187
S0527,160,194
S0528,147,187
S0529,155,198
S0530,142,192
S0531,168,197
S0532,146,185
S0533,180,180
S0534,135,182
S0535,149,191
S0536,159,200
S0537,193,193
S0538,140,197
S0539,159,189
S0540,187,200
S0541,166,199
S0542,166,184
S0543,187,198
S0544,143,180
S0545,151,192
S0546,134,189
S0547,154,186
S0548,142,199
S0549,165,193
S0550,128,182
S0551,147,182
S0552,137,182
S0553,161,186
S0554,130,181
S0555,151,185
S0556,182,196
S0557,173,198
S0558,176,196
S0559,186,190
S0560,151,194
S0561,190,199
S0562,121,181
S0563,177,198
S0564,152,195
S0565,130,188
S0566,155,189
S0567,175,189
S0568,146,183
S0569,157,184
S0570,152,186
S0571,166,180
S0572,158,190
S0573,170,190
S0574,154,186
S0575,165,183
S0576,143,200
S0577,154,194
S0578,141,189
S0579,158,195
S0580,182,187
S0581,151,184
S0582,167,194
S0583,189,196
S0584,119,193
S0585,138,191
S0586,147,180
S0587,117,193
S0588,146,192
S0589,173,188
S0590,160,185
S0591,177,200
S0592,159,187
S0593,164,185
S0594,191,194
