Student_ID,Gender,Parent_Education,Lunch_Type
S0001,Female,PhD,Standard
S0002,Female,PhD,Standard
S0003,Male,Master,Standard
S0004,Male,Master,Standard
S0005,Female,High School,Standard
S0006,Male,PhD,Free/Reduced
S0007,Female,Master,Standard
S0008,Male,Bachelor,Free/Reduced
S0009,Male,Bachelor,Free/Reduced
S0010,Male,High School,Standard
S0011,Male,Bachelor,Standard
S0012,Female,Bachelor,Free/Reduced
S0013,Male,Bachelor,Standard
S0014,Male,Bachelor,Standard
S0015,Male,Bachelor,Standard
S0016,Male,High School,Free/Reduced
S0017,Male,PhD,Free/Reduced
S0018,Female,High School,Free/Reduced
S0019,Female,High School,Standard
S0020,Female,High School,Standard
S0021,Male,Master,Free/Reduced
S0022,Male,Master,Free/Reduced
S0023,Male,High School,Standard
S0024,Male,High School,Free/Reduced
S0025,Female,Bachelor,Free/Reduced
S0026,Female,High School,Standard
S0027,Male,Bachelor,Standard
S0028,Male,High School,Standard
S0029,Male,Bachelor,Free/Reduced
S0030,Male,Bachelor,Standard
S0031,Female,Bachelor,Standard
S0032,Male,Bachelor,Standard
S0033,Female,High School,Free/Reduced
S0034,Male,High School,Free/Reduced
S0035,Female,High School,Free/Reduced
S0036,Female,High School,Standard
S0037,Male,PhD,Standard
S0038,Female,High School,Standard
S0039,Male,High School,Standard
S0040,Female,High School,Standard
S0041,Male,Master,Free/Reduced
S0042,Female,Master,Standard
S0043,Female,Master,Standard
S0044,Female,Bachelor,Standard
S0045,Male,Master,Free/Reduced
S0046,Female,Bachelor,Standard
S0047,Male,Master,Standard
S0048,Female,Master,Standard
S0049,Female,High School,Standard
S0050,Male,Bachelor,Standard
S0051,Male,High School,Standard
S0052,Male,High School,Free/Reduced
S0053,Female,Master,Standard
S0054,Female,High School,Standard
S0055,Female,Bachelor,Standard
S0056,Male,PhD,Standard
S0057,Female,Bachelor,Standard
S0058,Male,Bachelor,Standard
S0059,Male,Bachelor,Free/Reduced
S0060,Male,Master,Free/Reduced
S0061,Male,High School,Free/Reduced
S0062,Female,High School,Standard
S0063,Male,Bachelor,Free/Reduced
S0064,Male,Master,Free/Reduced
S0065,Male,High School,Standard
S0066,Male,Bachelor,Standard
S0067,Female,PhD,Free/Reduced
S0068,Male,High School,Free/Reduced
S0069,Male,High School,Standard
S0070,Male,Bachelor,Standard
S0071,Female,High School,Standard
S0072,Female,High School,Standard
S0073,Female,Bachelor,Free/Reduced
S0074,Male,Bachelor,Standard
S0075,Male,Bachelor,Free/Reduced
S0076,Male,Bachelor,Free/Reduced
S0077,Male,Bachelor,Standard
S0078,Male,Bachelor,Free/Reduced
S0079,Female,Master,Free/Reduced
S0080,Female,Master,Standard
S0081,Female,Bachelor,Standard
S0082,Female,Master,Free/Reduced
S0083,Female,Master,Standard
S0084,Male,High School,Standard
S0085,Male,PhD,Standard
S0086,Male,Master,Standard
S0087,Male,High School,Standard
S0088,Female,High School,Standard
S0089,Male,Bachelor,Standard
S0090,Female,Bachelor,Standard
S0091,Female,Bachelor,Free/Reduced
S0092,Male,Bachelor,Standard
S0093,Female,High School,Free/Reduced
S0094,Male,High School,Free/Reduced
S0095,Male,Master,Standard
S0096,Male,High School,Standard
